Linguistic,Musical,Bodily,Logical - Mathematical,Spatial-Visualization,Interpersonal,Intrapersonal,Naturalist,P1,P2,P3,P4,P5,P6,P7,P8,Course,recommended_career_target
6,8,15,20,12,18,15,14,0,0,1,3,0,3,1,0,Unknown,Criminologist
12,9,12,20,12,17,17,14,0,1,0,3,0,3,1,1,Unknown,Criminologist
7,8,14,20,14,19,16,12,1,1,1,3,0,1,3,1,Unknown,Criminologist
7,6,12,16,14,17,17,13,3,1,1,3,1,1,3,1,Unknown,Criminologist
9,8,12,19,14,18,18,13,1,1,1,3,0,3,3,0,Unknown,Criminologist
12,6,9,16,8,18,16,13,1,0,0,3,0,3,3,1,Unknown,Criminologist
7,7,13,16,14,19,12,13,0,0,0,3,1,3,3,3,Unknown,Criminologist
6,9,13,17,13,16,18,12,0,0,0,3,1,3,3,0,Unknown,Criminologist
8,8,13,18,9,18,18,12,0,0,0,3,0,3,3,1,Unknown,Criminologist
6,8,13,17,12,20,19,15,1,0,1,3,1,3,1,1,Unknown,Criminologist
5,8,13,18,12,16,18,13,0,0,0,3,0,3,3,0,Unknown,Criminologist
8,7,13,17,11,15,19,12,0,0,3,3,3,3,3,1,Unknown,Criminologist
6,8,12,19,12,20,17,13,1,0,1,3,1,3,3,3,Unknown,Criminologist
6,8,12,17,10,14,18,13,0,1,1,3,1,3,3,0,Unknown,Criminologist
8,9,13,18,11,17,20,13,1,0,1,3,1,3,3,1,Unknown,Criminologist
8,8,10,19,12,20,17,13,0,0,1,3,0,1,1,1,Unknown,Criminologist
7,8,9,20,12,15,17,15,1,0,1,3,1,3,1,1,Unknown,Criminologist
8,7,12,16,11,16,14,14,1,1,3,3,0,3,1,1,Unknown,Criminologist
13,11,7,18,5,17,16,7,0,0,0,3,0,3,3,0,Unknown,Criminologist
5,8,11,18,12,17,18,14,1,0,0,3,1,3,3,1,Unknown,Criminologist
7,7,13,18,12,17,19,14,1,0,1,3,1,3,3,1,Unknown,Criminologist
9,6,12,17,13,18,17,12,0,1,1,3,1,1,3,1,Unknown,Criminologist
5,8,12,19,14,20,18,13,0,0,1,3,1,3,3,0,Unknown,Criminologist
5,9,13,16,14,19,16,13,0,0,1,3,1,3,3,0,Unknown,Criminologist
5,8,11,17,13,20,18,13,1,1,1,3,1,3,3,1,Unknown,Criminologist
6,9,14,18,13,18,18,13,1,0,0,3,1,1,3,1,Unknown,Criminologist
7,9,11,18,14,15,16,12,1,0,3,3,0,3,3,1,Unknown,Criminologist
17,7,5,15,8,12,16,14,3,0,0,3,0,3,3,1,Unknown,Criminologist
8,6,13,15,16,19,20,13,0,0,1,3,1,1,3,1,Unknown,Criminologist
6,8,13,15,13,20,19,13,0,0,1,3,1,1,3,0,Unknown,Criminologist
6,9,11,16,12,19,18,14,0,0,0,3,1,3,3,1,Unknown,Criminologist
9,7,13,20,12,19,18,12,0,1,0,3,1,3,1,1,Unknown,Criminologist
10,8,12,16,12,18,16,11,1,0,0,3,0,3,3,1,Unknown,Criminologist
5,8,13,16,13,18,16,14,1,0,0,3,1,1,1,1,Unknown,Criminologist
18,7,13,19,7,17,13,8,3,1,1,3,1,3,1,1,Unknown,Criminologist
12,7,9,17,6,19,16,14,1,0,1,3,0,3,3,0,Unknown,Criminologist
9,8,15,16,13,17,20,14,1,0,0,3,1,3,1,1,Unknown,Criminologist
8,9,12,16,13,12,16,12,1,1,1,3,1,3,3,0,Unknown,Criminologist
13,14,6,19,6,18,18,12,0,1,1,3,1,3,3,3,Unknown,Criminologist
8,8,12,19,11,17,16,14,0,1,3,3,0,3,3,1,Unknown,Criminologist
8,9,13,15,12,18,19,12,1,1,1,3,0,3,3,3,Unknown,Criminologist
5,7,11,16,12,18,19,14,0,0,0,3,1,3,3,0,Unknown,Criminologist
7,7,12,18,13,17,18,13,0,0,1,3,1,3,3,1,Unknown,Criminologist
11,6,8,15,5,16,17,14,1,0,0,3,0,3,3,1,Unknown,Criminologist
6,10,15,17,13,16,15,13,0,0,1,3,1,3,3,1,Unknown,Criminologist
9,8,12,19,12,17,17,13,1,0,0,3,1,1,3,1,Unknown,Criminologist
20,7,13,17,12,18,18,5,3,1,0,3,0,3,3,0,Unknown,Criminologist
8,9,12,17,13,15,19,14,0,0,1,3,1,0,1,0,Unknown,Criminologist
6,8,15,18,13,17,16,13,0,0,0,3,0,3,1,1,Unknown,Criminologist
9,7,13,16,12,16,16,13,0,0,0,3,1,1,1,1,Unknown,Criminologist
6,7,12,18,12,18,18,12,1,1,0,3,1,3,3,0,Unknown,Criminologist
8,8,12,19,13,18,18,12,0,1,1,3,0,1,3,0,Unknown,Criminologist
17,13,9,17,5,14,17,12,3,0,0,3,0,1,3,1,Unknown,Criminologist
5,7,10,17,12,18,16,13,1,0,0,3,0,1,3,3,Unknown,Criminologist
6,10,13,18,13,20,19,13,0,0,1,3,1,1,3,0,Unknown,Criminologist
12,9,7,20,8,15,16,7,0,1,0,3,1,3,3,0,Unknown,Criminologist
7,9,12,18,11,16,17,14,0,0,0,3,1,1,3,1,Unknown,Criminologist
9,7,13,18,13,18,19,12,0,0,1,3,1,3,3,0,Unknown,Criminologist
17,12,7,17,6,15,17,13,3,1,0,3,1,1,3,1,Unknown,Criminologist
9,9,13,16,13,18,17,12,0,0,1,3,0,3,3,1,Unknown,Criminologist
5,7,13,15,12,17,18,14,0,0,1,3,1,1,3,1,Unknown,Criminologist
8,7,14,17,12,20,18,12,0,0,1,3,1,3,3,3,Unknown,Criminologist
7,8,12,19,13,16,20,12,1,0,1,3,1,3,3,1,Unknown,Criminologist
10,7,11,19,11,15,19,13,0,0,0,3,1,3,3,1,Unknown,Criminologist
6,7,12,16,11,16,15,13,0,0,1,3,0,3,3,0,Unknown,Criminologist
5,8,11,19,12,16,18,13,1,0,0,3,0,3,3,0,Unknown,Criminologist
9,7,14,20,12,17,18,14,0,0,1,3,1,1,3,1,Unknown,Criminologist
6,7,13,15,13,15,19,13,0,0,3,3,1,3,3,1,Unknown,Criminologist
18,13,8,16,7,13,17,13,3,1,1,3,1,1,3,1,Unknown,Criminologist
7,8,13,18,14,20,19,12,0,0,1,3,0,3,3,1,Unknown,Criminologist
6,7,12,15,13,20,17,13,1,1,1,3,1,3,3,0,Unknown,Criminologist
5,10,13,18,13,18,18,13,1,1,1,3,0,3,3,1,Unknown,Criminologist
5,8,14,15,14,18,14,12,1,1,1,3,1,3,3,1,Unknown,Criminologist
8,8,11,17,13,18,17,14,1,0,1,3,3,3,1,0,Unknown,Criminologist
7,8,11,17,13,19,18,13,0,1,1,3,0,3,3,0,Unknown,Criminologist
8,7,12,20,12,16,16,15,0,0,1,3,0,3,3,1,Unknown,Criminologist
8,7,12,17,11,18,18,13,1,0,1,3,0,3,3,1,Unknown,Criminologist
7,7,11,20,12,17,19,13,0,0,1,3,3,3,3,1,Unknown,Criminologist
9,6,14,19,13,19,18,12,0,1,0,3,1,1,3,1,Unknown,Criminologist
8,8,12,15,9,16,19,12,1,1,1,3,1,3,3,3,Unknown,Criminologist
13,12,6,18,7,18,18,12,1,0,1,3,1,1,3,0,Unknown,Criminologist
10,8,13,19,14,19,17,14,0,0,3,3,0,3,3,3,Unknown,Criminologist
5,7,12,20,13,13,17,13,0,1,0,3,0,3,3,0,Unknown,Criminologist
6,8,11,17,12,18,16,14,0,0,0,3,1,3,3,1,Unknown,Criminologist
7,8,11,15,13,13,19,14,0,0,0,3,0,3,3,1,Unknown,Criminologist
5,8,13,18,13,17,19,12,0,0,1,3,0,3,3,1,Unknown,Criminologist
6,8,12,18,14,16,19,12,0,0,1,3,1,3,3,1,Unknown,Criminologist
9,7,12,18,14,17,20,11,0,0,1,3,1,3,3,3,Unknown,Criminologist
5,9,14,20,11,16,18,14,0,0,1,3,0,1,1,1,Unknown,Criminologist
6,9,13,19,11,16,19,13,0,0,0,3,1,1,3,0,Unknown,Criminologist
6,8,12,15,12,19,15,13,0,0,1,3,0,3,3,1,Unknown,Criminologist
8,8,10,17,12,15,17,12,1,0,1,3,1,1,3,3,Unknown,Criminologist
13,6,9,17,8,15,16,7,1,0,0,3,0,3,3,1,Unknown,Criminologist
9,10,14,20,13,17,20,12,0,1,0,3,1,3,1,3,Unknown,Criminologist
17,7,13,20,8,17,12,7,3,0,1,3,0,3,1,0,Unknown,Criminologist
6,8,12,19,12,16,16,13,0,1,1,3,0,3,1,0,Unknown,Criminologist
6,8,12,19,13,16,15,13,1,1,1,3,1,1,3,1,Unknown,Criminologist
9,8,15,16,13,19,16,11,0,1,1,3,1,3,1,0,Unknown,Criminologist
18,6,12,20,13,13,15,6,3,1,1,3,0,1,3,1,Unknown,Criminologist
6,8,12,18,12,19,20,13,0,0,1,3,1,1,3,0,Unknown,Criminologist
8,9,13,18,11,17,19,14,0,0,1,3,1,3,3,1,Unknown,Criminologist
9,7,12,18,13,19,19,14,0,0,1,3,1,1,3,1,Unknown,Criminologist
10,8,14,20,12,18,18,12,0,1,0,3,1,3,1,1,Unknown,Criminologist
16,9,13,20,13,17,15,6,3,0,1,3,0,1,3,1,Unknown,Criminologist
9,8,14,15,13,16,16,13,0,0,0,3,1,3,3,1,Unknown,Criminologist
8,7,13,19,12,16,20,11,0,0,1,3,1,3,3,1,Unknown,Criminologist
5,7,12,17,15,17,20,14,0,1,0,3,0,1,1,1,Unknown,Criminologist
9,8,13,20,12,16,19,13,0,0,1,3,0,3,1,1,Unknown,Criminologist
8,8,11,17,15,18,18,12,0,0,1,3,1,3,3,0,Unknown,Criminologist
6,10,12,16,12,19,19,13,0,0,0,3,0,3,3,0,Unknown,Criminologist
9,9,11,20,14,16,16,13,0,0,0,3,3,1,3,0,Unknown,Criminologist
6,7,11,17,12,20,17,13,0,1,1,3,1,3,1,0,Unknown,Criminologist
7,9,13,15,13,16,18,13,0,0,1,3,0,3,3,3,Unknown,Criminologist
10,9,12,19,13,18,16,13,0,1,1,3,0,3,3,0,Unknown,Criminologist
5,8,11,20,13,17,17,12,0,0,1,3,1,3,3,1,Unknown,Criminologist
8,8,13,18,13,14,18,13,0,1,1,3,0,1,3,0,Unknown,Criminologist
7,7,12,15,13,19,19,13,0,1,1,3,1,3,3,1,Unknown,Criminologist
13,10,7,16,6,20,18,13,1,1,0,3,0,1,3,0,Unknown,Criminologist
7,9,12,18,11,17,18,13,0,1,0,3,1,3,3,0,Unknown,Criminologist
7,8,13,20,13,17,15,13,0,0,0,3,1,3,3,1,Unknown,Criminologist
10,8,12,17,13,18,16,11,0,0,1,3,0,3,1,1,Unknown,Criminologist
13,9,10,18,16,13,16,18,0,1,1,3,3,1,1,1,Unknown,Criminologist
5,7,12,18,13,18,18,12,0,0,1,3,1,1,3,1,Unknown,Criminologist
6,10,12,18,13,16,17,12,0,1,0,3,3,1,1,1,Unknown,Criminologist
10,9,13,18,10,18,20,13,0,0,1,3,0,1,1,1,Unknown,Criminologist
6,7,12,18,12,16,16,13,0,0,0,3,1,3,3,1,Unknown,Criminologist
16,14,7,19,6,14,15,12,1,1,1,3,0,0,3,1,Unknown,Criminologist
6,8,14,20,12,15,15,13,1,0,0,3,0,3,1,1,Unknown,Criminologist
7,8,13,18,12,20,16,13,0,0,1,3,0,1,1,0,Unknown,Criminologist
6,9,12,16,12,19,20,14,0,0,1,3,1,1,3,3,Unknown,Criminologist
7,7,15,15,15,16,20,14,0,1,1,3,1,0,3,0,Unknown,Criminologist
6,7,13,15,11,15,17,13,1,0,3,3,1,3,1,3,Unknown,Criminologist
8,9,13,18,13,15,17,12,1,0,1,3,1,3,3,0,Unknown,Criminologist
6,7,11,15,12,18,17,12,0,0,1,3,1,3,1,0,Unknown,Criminologist
8,7,13,18,14,17,18,12,1,1,3,3,0,3,3,1,Unknown,Criminologist
7,7,11,17,10,16,20,14,0,0,1,3,1,3,3,0,Unknown,Criminologist
7,7,13,18,11,19,18,13,1,0,0,3,1,1,3,0,Unknown,Criminologist
5,9,12,18,12,19,18,13,0,1,1,3,1,1,3,1,Unknown,Criminologist
7,6,11,18,13,17,17,12,0,0,0,3,1,3,3,1,Unknown,Criminologist
5,10,12,15,14,17,15,13,0,0,1,3,1,3,3,1,Unknown,Criminologist
8,7,14,19,12,16,18,13,0,0,0,3,1,3,3,0,Unknown,Criminologist
13,12,5,20,5,20,19,11,1,1,0,3,0,1,1,1,Unknown,Criminologist
7,7,11,19,13,19,17,11,0,0,1,3,0,1,3,0,Unknown,Criminologist
7,8,12,16,13,18,18,15,0,0,3,3,1,3,1,1,Unknown,Criminologist
8,8,15,17,13,16,14,12,1,0,1,3,1,3,1,0,Unknown,Criminologist
7,9,12,16,14,20,19,13,0,1,1,3,3,1,3,1,Unknown,Criminologist
6,9,13,19,13,16,18,11,0,0,1,3,1,3,1,1,Unknown,Criminologist
5,7,14,15,13,14,19,12,0,1,1,3,0,3,3,0,Unknown,Criminologist
6,9,13,18,12,19,17,13,0,0,1,3,1,1,1,1,Unknown,Criminologist
6,7,13,19,13,17,19,12,1,0,1,3,1,3,3,1,Unknown,Criminologist
8,7,13,18,14,16,16,11,0,0,0,3,1,3,3,1,Unknown,Criminologist
7,8,14,20,12,17,17,12,0,0,1,3,1,1,3,0,Unknown,Criminologist
6,8,12,16,13,19,19,11,1,0,0,3,1,3,3,0,Unknown,Criminologist
5,7,11,19,11,18,15,13,0,0,1,3,3,1,3,1,Unknown,Criminologist
8,9,12,18,14,18,18,13,0,0,1,3,3,3,3,0,Unknown,Criminologist
10,8,12,17,13,18,15,11,0,1,1,3,1,1,3,1,Unknown,Criminologist
7,7,11,20,12,17,19,11,0,0,1,3,0,1,3,1,Unknown,Criminologist
19,7,6,17,9,12,16,11,3,0,0,3,1,1,3,0,Unknown,Criminologist
12,5,18,17,13,10,13,18,0,0,1,3,1,0,1,3,Unknown,Criminologist
10,8,15,16,13,14,18,14,1,0,1,3,0,3,3,0,Unknown,Criminologist
8,7,13,16,13,17,16,12,0,0,1,3,1,3,3,1,Unknown,Criminologist
8,8,13,17,12,18,20,13,0,0,1,3,1,3,3,0,Unknown,Criminologist
8,7,13,18,13,16,15,13,1,0,0,3,0,3,1,0,Unknown,Criminologist
7,7,12,20,12,16,19,13,1,0,0,3,0,3,3,1,Unknown,Criminologist
7,7,12,18,12,20,15,13,0,0,1,3,1,3,3,1,Unknown,Criminologist
7,7,12,17,12,17,17,14,0,0,0,3,1,3,3,1,Unknown,Criminologist
5,9,13,20,13,17,18,14,1,0,1,3,1,1,3,0,Unknown,Criminologist
7,9,12,16,15,16,17,12,1,0,1,3,1,1,3,1,Unknown,Criminologist
8,8,13,15,14,20,18,13,0,0,1,3,1,3,1,1,Unknown,Criminologist
9,10,12,16,12,16,15,13,0,0,0,3,1,3,3,1,Unknown,Criminologist
6,8,12,16,13,19,16,13,1,0,0,3,0,1,3,1,Unknown,Criminologist
6,8,12,15,14,18,17,13,0,1,0,3,1,1,3,1,Unknown,Criminologist
13,13,5,20,9,18,17,12,3,1,1,3,1,1,3,1,Unknown,Criminologist
7,8,13,15,15,15,19,11,0,0,1,3,0,1,3,1,Unknown,Criminologist
5,7,13,19,14,18,19,14,1,0,1,3,1,1,3,0,Unknown,Criminologist
7,8,13,20,14,17,18,14,0,0,3,3,0,1,3,0,Unknown,Criminologist
7,8,12,17,13,16,17,14,0,0,1,3,0,1,3,1,Unknown,Criminologist
8,9,13,16,14,16,17,13,0,0,1,3,0,3,3,1,Unknown,Criminologist
8,7,12,19,11,18,17,12,0,0,3,3,1,1,1,0,Unknown,Criminologist
6,7,12,16,13,17,20,13,0,0,1,3,0,1,1,1,Unknown,Criminologist
7,7,14,16,13,17,18,12,0,0,3,3,1,3,3,1,Unknown,Criminologist
8,7,13,16,11,17,18,12,1,0,0,3,1,3,3,1,Unknown,Criminologist
5,8,13,15,11,18,17,15,1,0,1,3,0,3,1,1,Unknown,Criminologist
10,8,13,20,13,17,20,13,0,0,1,3,1,3,3,1,Unknown,Criminologist
7,9,13,19,12,16,20,13,0,0,3,3,1,1,1,1,Unknown,Criminologist
9,8,14,17,14,20,16,13,0,1,1,3,1,3,3,0,Unknown,Criminologist
11,7,11,15,13,16,18,14,0,1,1,3,1,3,3,1,Unknown,Criminologist
7,9,14,17,11,16,19,13,0,1,1,3,1,3,3,1,Unknown,Criminologist
8,9,12,16,12,20,16,13,1,0,1,3,0,3,3,1,Unknown,Criminologist
7,8,11,18,12,19,19,13,1,0,1,3,3,1,3,1,Unknown,Criminologist
16,9,14,17,12,15,15,5,3,1,1,3,0,3,3,0,Unknown,Criminologist
7,7,12,15,13,17,17,13,3,0,3,3,0,1,3,3,Unknown,Criminologist
16,13,8,19,8,13,16,14,3,1,1,3,0,1,3,0,Unknown,Criminologist
10,9,14,16,12,15,20,12,0,1,3,3,3,3,3,0,Unknown,Criminologist
7,8,13,17,14,17,17,14,1,0,1,3,3,1,3,1,Unknown,Criminologist
8,7,14,15,13,19,18,13,1,0,1,3,1,3,1,0,Unknown,Criminologist
9,7,13,18,13,19,20,12,0,0,0,3,1,3,3,3,Unknown,Criminologist
9,6,16,15,12,17,18,12,0,0,1,3,1,3,3,3,Unknown,Criminologist
7,8,12,16,14,18,17,12,0,0,1,3,0,3,1,1,Unknown,Criminologist
7,8,13,18,15,16,16,13,0,1,3,3,1,3,3,0,Unknown,Criminologist
6,8,11,17,13,15,20,13,0,0,1,3,1,1,3,1,Unknown,Criminologist
9,7,13,20,14,18,18,12,0,1,1,3,0,1,3,0,Unknown,Criminologist
7,8,13,17,12,15,17,13,1,0,1,3,1,3,3,3,Unknown,Criminologist
9,7,14,16,15,20,19,12,0,0,1,3,1,3,3,1,Unknown,Criminologist
6,7,12,16,13,18,15,15,0,0,0,3,0,0,1,1,Unknown,Criminologist
8,7,13,17,14,17,19,13,1,1,0,3,1,3,3,1,Unknown,Criminologist
7,7,13,18,13,17,19,14,1,1,1,3,1,1,3,3,Unknown,Criminologist
5,9,12,17,13,19,18,12,1,0,1,3,1,1,3,1,Unknown,Criminologist
10,8,12,20,11,17,18,13,1,0,1,3,1,3,3,1,Unknown,Criminologist
9,8,14,18,11,17,19,14,0,0,1,3,1,1,1,0,Unknown,Criminologist
10,8,13,16,14,18,17,13,1,0,1,3,1,3,3,1,Unknown,Criminologist
7,7,12,20,12,17,13,14,1,1,1,3,0,3,3,3,Unknown,Criminologist
8,8,12,20,13,16,16,12,0,0,1,3,1,3,3,1,Unknown,Criminologist
13,9,10,17,19,11,20,18,1,0,0,3,3,1,1,3,Unknown,Criminologist
10,7,11,19,12,19,19,13,1,0,0,3,0,3,3,1,Unknown,Criminologist
5,7,13,15,12,19,16,13,0,1,0,3,1,1,3,1,Unknown,Criminologist
6,8,12,20,12,15,17,11,1,1,3,3,1,3,3,3,Unknown,Criminologist
6,7,13,20,13,17,18,12,1,0,3,3,1,1,1,0,Unknown,Criminologist
9,8,14,16,12,14,17,13,1,0,1,3,1,3,3,0,Unknown,Criminologist
8,8,14,15,13,19,18,14,0,0,1,3,0,3,1,1,Unknown,Criminologist
10,6,11,16,13,20,18,11,1,0,1,3,0,3,3,1,Unknown,Criminologist
6,9,14,18,14,18,17,14,0,0,0,3,0,1,3,0,Unknown,Criminologist
12,9,12,17,14,19,15,13,0,0,1,3,1,3,3,0,Unknown,Criminologist
11,8,13,15,11,20,20,14,0,0,1,3,1,3,3,1,Unknown,Criminologist
19,5,7,16,9,13,16,14,3,0,1,3,1,1,3,1,Unknown,Criminologist
6,7,12,17,13,20,16,12,1,0,1,3,1,1,1,1,Unknown,Criminologist
8,7,11,17,12,19,14,13,0,0,1,3,0,3,3,0,Unknown,Criminologist
6,8,12,18,12,18,17,12,0,0,1,3,0,3,3,1,Unknown,Criminologist
17,14,8,17,8,12,18,12,3,1,0,3,0,1,1,0,Unknown,Criminologist
5,9,12,18,13,18,14,13,0,1,1,3,1,3,1,0,Unknown,Criminologist
6,9,16,20,12,16,18,14,0,1,1,3,0,3,1,0,Unknown,Criminologist
6,9,13,17,12,18,19,13,1,0,1,3,1,3,1,0,Unknown,Criminologist
6,8,12,16,12,18,18,14,1,0,0,3,3,3,3,1,Unknown,Criminologist
9,7,12,19,12,19,20,13,1,0,1,3,1,3,1,1,Unknown,Criminologist
8,7,12,18,16,20,17,13,1,1,1,3,1,3,3,0,Unknown,Criminologist
7,7,12,17,12,19,16,12,0,1,3,3,1,1,3,0,Unknown,Criminologist
13,10,19,17,11,9,13,18,1,1,3,3,1,0,1,1,Unknown,Criminologist
6,8,13,16,13,16,16,13,0,0,1,3,1,3,3,1,Unknown,Criminologist
5,7,12,16,12,18,18,14,0,0,1,3,1,3,1,0,Unknown,Criminologist
7,9,13,20,13,16,19,12,0,1,1,3,0,3,1,0,Unknown,Criminologist
11,8,13,17,17,11,18,18,1,1,0,3,3,1,3,3,Unknown,Criminologist
10,9,12,17,13,18,18,14,0,0,1,3,1,3,3,1,Unknown,Criminologist
8,9,11,18,11,19,20,15,1,0,0,3,1,3,1,1,Unknown,Criminologist
7,8,11,17,12,18,13,12,1,0,1,3,1,3,3,1,Unknown,Criminologist
6,9,12,17,13,16,19,13,0,1,1,3,0,3,3,0,Unknown,Criminologist
6,8,13,17,13,17,19,13,0,0,1,3,1,3,1,3,Unknown,Criminologist
6,8,11,16,14,20,18,13,0,0,1,3,1,1,3,0,Unknown,Criminologist
9,8,14,17,10,16,16,13,0,0,1,3,1,3,3,0,Unknown,Criminologist
9,7,13,20,13,17,14,12,0,1,1,3,1,3,3,0,Unknown,Criminologist
5,8,13,20,10,17,19,13,0,1,0,3,1,3,1,0,Unknown,Criminologist
5,9,12,19,10,18,16,14,0,0,0,3,1,3,1,0,Unknown,Criminologist
10,8,13,18,14,18,17,13,0,0,1,3,1,3,3,0,Unknown,Criminologist
8,8,12,17,14,16,18,13,0,0,0,3,0,1,3,0,Unknown,Criminologist
8,8,12,18,12,20,18,12,0,1,1,3,1,3,3,1,Unknown,Criminologist
19,9,12,16,13,18,15,5,3,0,1,3,3,3,3,0,Unknown,Criminologist
5,8,13,17,13,20,19,15,0,0,1,3,3,3,3,3,Unknown,Criminologist
9,8,13,17,12,17,18,12,1,0,1,3,0,3,1,1,Unknown,Criminologist
5,9,12,19,12,17,19,12,0,1,1,3,0,0,1,1,Unknown,Criminologist
7,9,12,18,12,15,17,13,1,0,0,3,1,1,3,0,Unknown,Criminologist
8,7,12,17,11,17,16,13,0,0,0,3,1,1,3,1,Unknown,Criminologist
8,9,14,18,10,19,20,13,1,0,0,3,1,3,3,3,Unknown,Criminologist
10,9,12,20,11,16,19,13,3,1,0,3,1,1,3,1,Unknown,Criminologist
7,7,13,16,13,18,18,13,0,1,0,3,0,3,1,1,Unknown,Criminologist
9,8,12,17,12,16,16,11,1,0,0,3,1,1,1,1,Unknown,Criminologist
8,8,14,18,13,16,19,13,0,0,0,3,1,1,1,3,Unknown,Criminologist
6,7,12,18,12,16,20,14,1,0,1,3,1,3,3,1,Unknown,Criminologist
13,9,7,19,10,17,18,10,1,1,0,3,0,3,3,0,Unknown,Logistics manager
14,7,8,17,9,17,19,8,1,0,0,3,1,3,3,0,Unknown,Logistics manager
13,6,6,18,12,17,18,8,1,0,0,3,0,3,3,0,Unknown,Logistics manager
14,7,10,15,8,18,18,6,1,0,1,3,1,1,3,1,Unknown,Logistics manager
13,7,9,18,8,16,17,7,1,0,1,3,0,3,3,1,Unknown,Logistics manager
12,5,11,20,8,15,15,7,0,1,1,3,1,1,3,1,Unknown,Logistics manager
14,8,6,17,7,20,18,9,1,1,0,3,1,3,3,1,Unknown,Logistics manager
12,6,6,19,8,16,18,8,1,0,0,3,0,1,3,1,Unknown,Logistics manager
13,10,7,18,6,17,14,5,0,0,0,3,1,1,3,3,Unknown,Logistics manager
8,7,13,18,15,15,17,15,1,1,0,3,1,1,1,1,Unknown,Logistics manager
13,7,5,19,8,14,18,6,3,1,0,3,3,3,3,0,Unknown,Logistics manager
15,7,11,17,10,20,17,9,1,0,0,3,0,1,3,0,Unknown,Logistics manager
13,8,5,17,8,18,16,7,0,0,0,3,1,3,1,0,Unknown,Logistics manager
13,8,7,18,5,16,18,5,0,0,0,3,1,1,3,0,Unknown,Logistics manager
13,9,6,18,10,14,18,8,1,1,0,3,1,3,3,1,Unknown,Logistics manager
13,6,10,17,7,15,18,9,1,1,1,3,1,1,3,1,Unknown,Logistics manager
14,6,8,18,8,18,19,9,0,0,1,3,1,3,1,1,Unknown,Logistics manager
13,5,9,17,10,20,16,7,1,0,0,3,0,1,3,0,Unknown,Logistics manager
12,6,9,16,10,16,17,7,1,1,0,3,0,3,3,0,Unknown,Logistics manager
14,7,9,16,9,17,18,8,3,0,0,3,0,3,3,0,Unknown,Logistics manager
